,code,geom,box
65,S_k_151,"                                            geometry
0  POLYGON ((148.59452 -33.95511, 148.57288 -33.9...","{'lats': [-33.95511490998923, -33.955113008387954, -33.93708222469946, -33.93708032438228], 'lons': [148.5945174654446, 148.57288025346998, 148.57288025346998, 148.5945129030856]}"
66,S_k_152,"                                            geometry
0  POLYGON ((148.88534 -34.16781, 148.86365 -34.1...","{'lats': [-34.16781459369448, -34.167812676906415, -34.149782518176615, -34.149780602678966], 'lons': [148.88534451459563, 148.8636531802729, 148.8636531802729, 148.88533990413237]}"
67,S_k_153,"                                            geometry
0  POLYGON ((148.09951 -33.88622, 148.07789 -33.8...","{'lats': [-33.8862150122426, -33.88621311554476, -33.86818212981351, -33.86818023439775], 'lons': [148.09950876426305, 148.07788896238878, 148.07788896238878, 148.0995042173825]}"
68,S_k_154,"                                            geometry
0  POLYGON ((148.98814 -34.14491, 148.96646 -34.1...","{'lats': [-34.14491462779322, -34.14491271264383, -34.126882486539856, -34.12688057268019], 'lons': [148.98814158870258, 148.96645610876658, 148.96645610876658, 148.98813698344182]}"
69,S_k_155,"                                            geometry
0  POLYGON ((149.05955 -34.24231, 149.03784 -34.2...","{'lats': [-34.24231448268669, -34.24231256056152, -34.22428262116582, -34.224280700333296], 'lons': [149.05955405629123, 149.03784363009714, 149.03784363009714, 149.05954942886345]}"
70,S_k_156,"                                            geometry
0  POLYGON ((148.93127 -34.37301, 148.90953 -34.3...","{'lats': [-34.37301428766277, -34.373012356151875, -34.35498280208865, -34.354980871874325], 'lons': [148.9312708810572, 148.90952679038074, 148.90952679038074, 148.9312662237209]}"
71,S_k_157,"                                            geometry
0  POLYGON ((149.27204 -34.87261, 149.25016 -34.8...","{'lats': [-34.872613539009976, -34.87261157135406, -34.854583496440824, -34.85458153009684], 'lons': [149.27203620510446, 149.25016140831033, 149.25016140831033, 149.27203143169177]}"
72,S_k_158,"                                            geometry
0  POLYGON ((149.24346 -35.05751, 149.22154 -35.0...","{'lats': [-35.057513260691, -35.057511279548336, -35.03948375450001, -35.03948177467507], 'lons': [149.24346079321327, 149.22153679836816, 149.2215367983682, 149.24345597612248]}"
73,S_k_160,"                                            geometry
0  POLYGON ((138.35925 -34.19401, 138.33755 -34.1...","{'lats': [-34.19401455466859, -34.194012636004636, -34.17598255438412, -34.175980637011364], 'lons': [138.35924786619134, 138.3375498256984, 138.3375498256984, 138.35924324976892]}"
74,S_k_161,"                                            geometry
0  POLYGON ((138.51680 -33.85492, 138.49519 -33.8...","{'lats': [-33.85491505866114, -33.854913164188275, -33.83688208673802, -33.83688019354631], 'lons': [138.51680482126574, 138.49519290889273, 138.49519290889273, 138.51680028140012]}"
75,S_k_162,"                                            geometry
0  POLYGON ((138.37330 -33.79872, 138.35170 -33.7...","{'lats': [-33.79871514195448, -33.798713251472584, -33.780682009441215, -33.78068012023883], 'lons': [138.37329775681772, 138.35169997962393, 138.35169997962393, 138.37329322952155]}"
76,S_k_163,"                                            geometry
0  POLYGON ((138.41039 -33.73412, 138.38881 -33.7...","{'lats': [-33.73411523761385, -33.73411335171308, -33.71608192066521, -33.71608003604206], 'lons': [138.4103896607121, 138.38880808293123, 138.38880808293123, 138.41038514782298]}"
77,S_k_165,"                                            geometry
0  POLYGON ((138.65930 -33.04202, 138.63789 -33.0...","{'lats': [-33.042016256742485, -33.04201441950213, -33.02398097465662, -33.02397913867419], 'lons': [138.65930452815667, 138.63789329129094, 138.63789329129094, 138.65930016691354]}"
78,S_k_166,"                                            geometry
0  POLYGON ((138.10035 -33.39102, 138.07885 -33.3...","{'lats': [-33.39101574415855, -33.39101388247581, -33.3729814505107, -33.3729795900957], 'lons': [138.10034709243416, 138.0788506890942, 138.0788506890942, 138.10034265533392]}"
79,S_k_167,"                                            geometry
0  POLYGON ((138.42421 -33.06382, 138.40279 -33.0...","{'lats': [-33.06381622480464, -33.063814386043106, -33.0457810043085, -33.045779166805495], 'lons': [138.4242071653908, 138.4027906517062, 138.4027906517062, 138.4242027994452]}"
80,S_k_168,"                                            geometry
0  POLYGON ((137.77533 -34.79791, 137.75347 -34.7...","{'lats': [-34.79791365126306, -34.797911689038855, -34.77988339234751, -34.77988143143291], 'lons': [137.77532633500792, 137.7534712871719, 137.7534712871719, 137.77532157912995]}"
81,S_k_169,"                                            geometry
0  POLYGON ((137.64103 -34.83701, 137.61917 -34.8...","{'lats': [-34.83701359252037, -34.837011627454274, -34.81898344682096, -34.81898148306568], 'lons': [137.64103149673795, 137.61916612085798, 137.61916612085798, 137.64102673168975]}"
82,S_k_171,"                                            geometry
0  POLYGON ((138.61420 -33.79972, 138.59260 -33.7...","{'lats': [-33.79971514047298, -33.79971324992012, -33.781682010816084, -33.781680121542756], 'lons': [138.61419788234798, 138.59259985398197, 138.59259985398197, 138.61419335482847]}"
83,S_k_172,"                                            geometry
0  POLYGON ((138.61147 -34.39831, 138.58972 -34.3...","{'lats': [-34.39831424987106, -34.39831231654002, -34.38028283714588, -34.38028090511217], 'lons': [138.61147415045943, 138.58972351807373, 138.58972351807373, 138.611469487312]}"
84,S_k_174,"                                            geometry
0  POLYGON ((138.89943 -33.24692, 138.87797 -33.2...","{'lats': [-33.24691595613214, -33.24691410456474, -33.228881253737285, -33.22887940343356], 'lons': [138.89942942861364, 138.8779683686459, 138.8779683686459, 138.89942502298348]}"
85,S_k_175,"                                            geometry
0  POLYGON ((138.95732 -33.93831, 138.93568 -33.9...","{'lats': [-33.938314934931086, -33.938313034526146, -33.92028220155506, -33.92028030243372], 'lons': [138.95731534108563, 138.93568237971783, 138.93568237971783, 138.9573107825054]}"
86,S_k_177,"                                            geometry
0  POLYGON ((147.39238 -33.66582, 147.37082 -33.6...","{'lats': [-33.6658153386545, -33.665813457589856, -33.647781826891155, -33.647779947102165], 'lons': [147.39238112900733, 147.37081662222636, 147.37081662222636, 147.3923766313028]}"
87,S_k_178,"                                            geometry
0  POLYGON ((147.36858 -33.67532, 147.34702 -33.6...","{'lats': [-33.675315324606565, -33.675313442869715, -33.65728183992907, -33.65727995946814], 'lons': [147.3685823139748, 147.34701543620466, 147.34701543620466, 147.3685778141611]}"
88,S_k_179,"                                            geometry
0  POLYGON ((147.29889 -33.70722, 147.27731 -33.7...","{'lats': [-33.70721527742078, -33.707213393425626, -33.689181883721574, -33.689180001003265], 'lons': [147.2988862970508, 147.277311449585, 147.277311449585, 147.298881790148]}"
89,S_k_181,"                                            geometry
0  POLYGON ((146.88305 -34.21571, 146.86135 -34.2...","{'lats': [-34.21571452233486, -34.21571260211636, -34.19768258438226, -34.19768066545559], 'lons': [146.88305064542143, 146.86134704399825, 146.86134704399825, 146.8830460240577]}"
90,S_k_182,"                                            geometry
0  POLYGON ((147.55822 -33.98901, 147.53658 -33.9...","{'lats': [-33.98901485964192, -33.98901295562521, -33.97098227141756, -33.97098036868594], 'lons': [147.55822175747798, 147.53657595762047, 147.53657595762047, 147.55821718748464]}"
91,S_k_183,"                                            geometry
0  POLYGON ((149.24360 -34.61061, 149.22180 -34.6...","{'lats': [-34.61061393223901, -34.610611983591674, -34.59258313176774, -34.5925811844242], 'lons': [149.24360174675223, 149.22179589726568, 149.22179589726568, 149.24359703456173]}"
92,S_k_184,"                                            geometry
0  POLYGON ((148.92091 -34.67451, 148.89909 -34.6...","{'lats': [-34.67451383645829, -34.67451188318581, -34.65648322060017, -34.65648126863348], 'lons': [148.92091010980548, 148.8990875267843, 148.8990875267843, 148.9209053827549]}"
93,S_k_185,"                                            geometry
0  POLYGON ((149.15709 -34.50161, 149.13531 -34.5...","{'lats': [-34.501614095432515, -34.50161215465853, -34.483582980402524, -34.483581040929], 'lons': [149.1570875419631, 149.13531011467285, 149.13531011467285, 149.15708285501512]}"
94,S_k_187,"                                            geometry
0  POLYGON ((149.25260 -34.59231, 149.23080 -34.5...","{'lats': [-34.592313959654184, -34.59231201233011, -34.57428310634052, -34.574281160319714], 'lons': [149.25259935656155, 149.23079828957944, 149.23079828957944, 149.2525946486183]}"
95,S_k_194,"                                            geometry
0  POLYGON ((148.47757 -34.35611, 148.45583 -34.3...","{'lats': [-34.35611431289979, -34.35611238260413, -34.3380827786774, -34.3380808496778], 'lons': [148.47756869942575, 148.45582897395076, 148.45582897395076, 148.47756404596728]}"
96,S_k_196,"                                            geometry
0  POLYGON ((148.61166 -34.29871, 148.58994 -34.2...","{'lats': [-34.298714398572436, -34.298712472400645, -34.2806826992004, -34.28068077432294], 'lons': [148.61166130322135, 148.5899363767271, 148.5899363767271, 148.61165666291035]}"
97,S_k_482,"                                            geometry
0  POLYGON ((140.98757 -36.58001, 140.96523 -36.5...","{'lats': [-36.580010945094905, -36.58000885054263, -36.56198589975932, -36.5619838065752], 'lons': [140.9875720312256, 140.96522537276448, 140.96522537276448, 140.98756683885128]}"
98,S_k_483,"                                            geometry
0  POLYGON ((141.00179 -38.02351, 140.97901 -38.0...","{'lats': [-38.02350871441142, -38.023506508185285, -38.00548796275816, -38.00548575795264], 'lons': [141.00178755480852, 140.9790096573505, 140.9790096573505, 141.0017819786638]}"
99,S_k_484,"                                            geometry
0  POLYGON ((141.01325 -37.80741, 140.99054 -37.8...","{'lats': [-37.807409050318775, -37.80740686108304, -37.78938765236015, -37.78938546453688], 'lons': [141.01325429974153, 140.99054294206542, 140.99054294206542, 141.01324878290973]}"
100,S_k_485,"                                            geometry
0  POLYGON ((141.03021 -37.48341, 141.00759 -37.4...","{'lats': [-37.48340955270075, -37.48340738875581, -37.465387187951436, -37.46538502540692], 'lons': [141.03020510369095, 141.00759218193923, 141.00759218193923, 141.03019967453065]}"
101,S_k_486,"                                            geometry
0  POLYGON ((141.13547 -35.86331, 141.11333 -35.8...","{'lats': [-35.863312040266884, -35.86330999963551, -35.845284885568454, -35.8452828462809], 'lons': [141.1354706115188, 141.11332688255786, 141.11332688255786, 141.13546559936682]}"
102,S_k_487,"                                            geometry
0  POLYGON ((141.05666 -37.84501, 141.03394 -37.8...","{'lats': [-37.8450089919201, -37.84500679973522, -37.82698770633089, -37.826985515559876], 'lons': [141.0566600602988, 141.03393717637388, 141.03393717637388, 141.0566545331956]}"
103,S_k_488,"                                            geometry
0  POLYGON ((141.07730 -37.44891, 141.05470 -37.4...","{'lats': [-37.44890960610491, -37.448907444840195, -37.43088713857169, -37.43088497870613], 'lons': [141.07729991164345, 141.0546973786094, 141.0546973786094, 141.07729449173104]}"
