,project,site,lat,long,Granule Number
81,NFSI_RG,k_64,-34.3295,143.7531,1
82,NFSI_RG,k_65,-34.3086,143.7538,2
84,NFSI_RG,k_66,-34.3092,143.779,1
86,NFSI_RG,k_67,-34.321,143.8292,1
99,NFSI_RG,k_68,-34.212,144.0858,1
103,NFSI_RG,k_69,-35.6096,144.1773,1
104,NFSI_RG,k_70,-35.5886,144.178,1
105,NFSI_RG,k_71,-35.6623,144.1883,1
106,NFSI_RG,k_72,-35.5994,144.1905,1
107,NFSI_RG,k_73,-35.6731,144.2008,2
108,NFSI_RG,k_74,-35.6207,144.2025,1
109,NFSI_RG,k_75,-35.6101,144.2029,1
110,NFSI_RG,k_76,-35.5892,144.2037,2
111,NFSI_RG,k_77,-35.6838,144.2132,2
112,NFSI_RG,k_78,-35.6629,144.214,2
113,NFSI_RG,k_79,-35.6524,144.2143,1
114,NFSI_RG,k_80,-35.6419,144.2147,1
115,NFSI_RG,k_81,-35.6315,144.2151,1
116,NFSI_RG,k_82,-35.6,144.2162,2
117,NFSI_RG,k_83,-35.5791,144.2169,2
118,NFSI_RG,k_84,-35.6954,144.2222,2
119,NFSI_RG,k_85,-35.6736,144.2265,2
120,NFSI_RG,k_86,-35.6212,144.2282,1
121,NFSI_RG,k_87,-35.6107,144.2287,2
122,NFSI_RG,k_88,-35.5898,144.2293,2
123,NFSI_RG,k_89,-35.7159,144.2379,2
124,NFSI_RG,k_90,-35.7055,144.2382,2
125,NFSI_RG,k_91,-35.695,144.2386,2
126,NFSI_RG,k_92,-35.6844,144.2389,2
127,NFSI_RG,k_93,-35.6635,144.2397,2
128,NFSI_RG,k_94,-35.653,144.2401,2
