,code,geom,box
81,S_k_362,"                                            geometry
0  POLYGON ((132.86053 -13.23294, 132.84207 -13.2...","{'lats': [-13.23293877330006, -13.232938106906856, -13.21486022096507, -13.21485955551415], 'lons': [132.8605262258466, 132.84207309421814, 132.84207309421814, 132.86052486635722]}"
82,S_k_363,"                                            geometry
0  POLYGON ((132.81103 -13.37214, 132.79257 -13.3...","{'lats': [-13.372138672727493, -13.372137999074386, -13.354060310585872, -13.35405963787609], 'lons': [132.81103148977962, 132.79256782247595, 132.79256782247595, 132.81103011467047]}"
83,S_k_364,"                                            geometry
0  POLYGON ((132.70543 -13.26924, 132.68697 -13.2...","{'lats': [-13.269238747165716, -13.269238078880075, -13.251160244244595, -13.251159576901516], 'lons': [132.70542759275307, 132.68697172527723, 132.68697172527723, 132.70542622919456]}"
84,S_k_365,"                                            geometry
0  POLYGON ((132.65223 -13.30404, 132.63377 -13.3...","{'lats': [-13.304038722049972, -13.30403805194959, -13.285960266622746, -13.28595959746518], 'lons': [132.6522289070162, 132.63377040906244, 132.63377040906246, 132.652227539554]}"
85,S_k_370,"                                            geometry
0  POLYGON ((132.38331 -12.65744, 132.36489 -12.6...","{'lats': [-12.657439178873704, -12.657438542411589, -12.639359860545643, -12.639359225021673], 'lons': [132.38330509910247, 132.36489425302574, 132.36489425302574, 132.38330380374592]}"
86,S_k_372,"                                            geometry
0  POLYGON ((132.58792 -13.10474, 132.56948 -13.1...","{'lats': [-13.104738865074838, -13.104738205360757, -13.086660139266137, -13.086659480493404], 'lons': [132.58792143105907, 132.56947789617894, 132.56947789617894, 132.5879200859176]}"
87,S_k_373,"                                            geometry
0  POLYGON ((132.69262 -12.99374, 132.67418 -12.9...","{'lats': [-12.993738943876656, -12.993738289940175, -12.975660069180307, -12.975659416184367], 'lons': [132.69261732064822, 132.67418201278625, 132.67418201278625, 132.69261598790092]}"
88,S_k_374,"                                            geometry
0  POLYGON ((132.30973 -13.20354, 132.29127 -13.2...","{'lats': [-13.203538794418805, -13.203538129557915, -13.18546020215789, -13.185459538239071], 'lons': [132.30972512176135, 132.29127419995, 132.29127419995, 132.30972376556554]}"
89,S_k_375,"                                            geometry
0  POLYGON ((132.34361 -12.75124, 132.32519 -12.7...","{'lats': [-12.751239113897228, -12.75123847256572, -12.733159918175879, -12.73315927778318], 'lons': [132.34360847292209, 132.3251908740041, 132.3251908740041, 132.34360716716057]}"
90,S_k_376,"                                            geometry
0  POLYGON ((132.23823 -13.33574, 132.21977 -13.3...","{'lats': [-13.335738699119325, -13.335738027365418, -13.317660287059011, -13.317659616248159], 'lons': [132.23823010747833, 132.21976920682135, 132.21976920682135, 132.2382287364578]}"
91,S_k_378,"                                            geometry
0  POLYGON ((132.02111 -12.83384, 132.00269 -12.8...","{'lats': [-12.833839056314753, -12.833838410692401, -12.815759969285015, -12.815759324602052], 'lons': [132.02111146628488, 132.00268787605273, 132.00268787605273, 132.02111015134545]}"
92,S_k_379,"                                            geometry
0  POLYGON ((132.14090 -12.54964, 132.12250 -12.5...","{'lats': [-12.54963925300384, -12.54963862213363, -12.53155979485192, -12.531559164919102], 'lons': [132.140901255059, 132.12249810303646, 132.12249810303646, 132.14089997163788]}"
93,S_k_381,"                                            geometry
0  POLYGON ((132.86779 -12.29644, 132.84941 -12.2...","{'lats': [-12.296439424825177, -12.296438807071524, -12.27835964281977, -12.278359026001768], 'lons': [132.86779236598238, 132.849407006082, 132.849407006082, 132.8677911105016]}"
94,S_k_384,"                                            geometry
0  POLYGON ((132.67919 -12.15874, 132.66081 -12.1...","{'lats': [-12.158739516913165, -12.158738906282554, -12.140659561478735, -12.140658951782843], 'lons': [132.67918761382305, 132.66081176581113, 132.66081176581113, 132.67918637348313]}"
95,S_k_385,"                                            geometry
0  POLYGON ((132.67279 -12.29634, 132.65441 -12.2...","{'lats': [-12.296339424892397, -12.296338807143917, -12.278259642760354, -12.278259025947525], 'lons': [132.67279236251034, 132.65440700955958, 132.65440700955958, 132.6727911070406]}"
96,S_k_387,"                                            geometry
0  POLYGON ((132.76069 -12.23594, 132.74231 -12.2...","{'lats': [-12.235939465402828, -12.23593885077964, -12.217859606965225, -12.21785899327728], 'lons': [132.76069027096202, 132.74230910443055, 132.74230910443055, 132.7606890221382]}"
97,S_k_391,"                                            geometry
0  POLYGON ((132.07711 -12.87594, 132.05869 -12.8...","{'lats': [-12.875939026834681, -12.8759383790243, -12.857859995464166, -12.857859348593475], 'lons': [132.07711300003524, 132.058686339961, 132.058686339961, 132.0771116804125]}"
98,S_k_392,"                                            geometry
0  POLYGON ((132.42499 -12.12414, 132.40661 -12.1...","{'lats': [-12.12413953990177, -12.124138931059848, -12.106059541188861, -12.106058933281433], 'lons': [132.42498642880932, 132.40661295272403, 132.40661295272403, 132.42498519226794]}"
99,S_k_394,"                                            geometry
0  POLYGON ((132.23519 -12.20814, 132.21681 -12.2...","{'lats': [-12.20813948398653, -12.20813887080134, -12.190059590551103, -12.19005897830097], 'lons': [132.235189312028, 132.21681006489268, 132.21681006489268, 132.23518806626063]}"
100,S_k_398,"                                            geometry
0  POLYGON ((130.83192 -13.13104, 130.81348 -13.1...","{'lats': [-13.131038846313965, -13.131038185230224, -13.112960155960776, -13.112959495818574], 'lons': [130.83192241055073, 130.81347691521714, 130.81347691521714, 130.83192106246872]}"
101,S_k_400,"                                            geometry
0  POLYGON ((130.72432 -13.05154, 130.70588 -13.0...","{'lats': [-13.051538902919424, -13.051538245975053, -13.033460105599865, -13.033459449596451], 'lons': [130.72431945627213, 130.70587987393742, 130.70587987393742, 130.72431811707423]}"
102,S_k_402,"                                            geometry
0  POLYGON ((130.70053 -13.22284, 130.68207 -13.2...","{'lats': [-13.222838780559977, -13.22283811469322, -13.204760214499327, -13.204759549574783], 'lons': [130.70052584624975, 130.6820734743808, 130.6820734743808, 130.70052448789207]}"
103,S_k_404,"                                            geometry
0  POLYGON ((130.76433 -13.29784, 130.74587 -13.2...","{'lats': [-13.297838726529015, -13.297838056751987, -13.279760262631502, -13.279759593797241], 'lons': [130.76432867259055, 130.7458706438359, 130.7458706438359, 130.764327305824]}"
