project,site,geom,longitude,latitude
Wog Wog Fragmentation Experiment (NSW),S_k_200,POINT (149.46529800044434 -37.07111000003748),149.4653,-37.0711
Wog Wog Fragmentation Experiment (NSW),S_k_201,POINT (149.4693295005889 -37.0668349999604),149.4693,-37.0668
Wog Wog Fragmentation Experiment (NSW),S_k_202,POINT (149.45975200017483 -37.062512830536356),149.4598,-37.0625
Wog Wog Fragmentation Experiment (NSW),S_k_203,POINT (149.4546801851956 -37.05738050023902),149.4547,-37.0574
Wog Wog Fragmentation Experiment (NSW),S_k_204,POINT (149.47114649972764 -37.08022050010898),149.4711,-37.0802
Wog Wog Fragmentation Experiment (NSW),S_k_205,POINT (149.46826800005613 -37.07603300007786),149.4683,-37.076
Wog Wog Fragmentation Experiment (NSW),S_k_206,POINT (149.4621685138361 -37.069808500093686),149.4622,-37.0698
Wog Wog Fragmentation Experiment (NSW),S_k_207,POINT (149.465923999697 -37.06739950007873),149.4659,-37.0674
Wog Wog Fragmentation Experiment (NSW),S_k_208,POINT (149.45714200031446 -37.05951849996357),149.4571,-37.0595
Wog Wog Fragmentation Experiment (NSW),S_k_209,POINT (149.45557849986562 -37.058969785441356),149.4556,-37.059
Wog Wog Fragmentation Experiment (NSW),S_k_210,POINT (149.4696925000146 -37.07809949997814),149.4697,-37.0781
Wog Wog Fragmentation Experiment (NSW),S_k_211,POINT (149.46912049980216 -37.07691849999015),149.4691,-37.0769
Wog Wog Fragmentation Experiment (NSW),S_k_212,POINT (149.46643900001743 -37.07300299996114),149.4664,-37.073
Wog Wog Fragmentation Experiment (NSW),S_k_213,POINT (149.4666630000209 -37.06656799999652),149.4667,-37.0666
Wog Wog Fragmentation Experiment (NSW),S_k_214,POINT (149.45872150001964 -37.060729505005945),149.4587,-37.0607
Wog Wog Fragmentation Experiment (NSW),S_k_215,POINT (149.45524699953194 -37.05580749991657),149.4552,-37.0558
NT Bushfires - Cape York,S_k_216,POINT (142.17119561768507 -14.682271207683582),142.1712,-14.6823
NT Bushfires - Cape York,S_k_217,POINT (141.7198131331801 -13.682637481323212),141.7198,-13.6826
NT Bushfires - Cape York,S_k_218,POINT (142.7396451888167 -15.471121855667546),142.7396,-15.4711
NT Bushfires - Cape York,S_k_219,POINT (142.74017732434055 -15.469687423572882),142.7402,-15.4697
NT Bushfires - Cape York,S_k_220,POINT (142.89880574297536 -15.41507084328485),142.8988,-15.4151
NT Bushfires - Cape York,S_k_221,POINT (142.89948578589215 -15.414031354665225),142.8995,-15.414
NT Bushfires - Cape York,S_k_222,POINT (141.7087250125715 -13.687751467729246),141.7087,-13.6878
NT Bushfires - Cape York,S_k_223,POINT (142.72396048218116 -15.521632005968803),142.724,-15.5216
NT Bushfires - Cape York,S_k_224,POINT (142.72470914000456 -15.51559977303923),142.7247,-15.5156
NT Bushfires - Cape York,S_k_225,POINT (142.72144726707765 -15.513591873102017),142.7214,-15.5136
NT Bushfires - Cape York,S_k_226,POINT (142.9299422472931 -15.40707202128299),142.9299,-15.4071
NT Bushfires - Cape York,S_k_227,POINT (142.52280431289657 -15.579652502244475),142.5228,-15.5797
NT Bushfires - Cape York,S_k_228,POINT (142.47731991017022 -15.590255787823136),142.4773,-15.5903
NT Bushfires - Cape York,S_k_229,POINT (142.6646619419596 -15.540231208155971),142.6647,-15.5402
NT Bushfires - Cape York,S_k_230,POINT (142.58429264228766 -15.390261213981628),142.5843,-15.3903
NT Bushfires - Cape York,S_k_231,POINT (142.58504156151054 -15.390914202207863),142.585,-15.3909
